State,Count
Texas,801
Florida,566
Pennsylvania,458
Tennessee,349
Oklahoma,43
Michigan,41
Kansas,30
Wisconsin,29
Missouri,27
Idaho,26
Georgia,23
Mississippi,22
Virginia,19
Indiana,18
North Carolina,16
New York,13
Utah,12
Iowa,8
Illinois,5
South Dakota,5
Washington,5
Ohio,4
New Jersey,3
Minnesota,1
Maryland,1
Vermont,1
Alaska,1
Rhode Island,1
Maine,1
South Carolina,1
Arkansas,1
Oregon,1
